Complaints: 503 rows
complaint_id,vin,customer_name,dealer_code,dealer_name,complaint_date,description,category,subcategory,ai_category,ai_subcategory,ai_confidence,severity,status,model,variant,manufacturing_date,created_at
13,MATHRM17667IN,Rohit Gupta,D003,Tata Motors Powai,2025-10-17,metallic noise when braking from high speed,Brakes,Noise,Brakes,Noise,0.89,High,Closed,Safari,XE,2025-01-18,2026-03-13T06:49:45.741-04:00
14,MATSFN51724IN,Divya Saxena,D007,Tata Motors Noida,2025-09-29,whining noise from power steering pump at full lock,Steering,Power Steering,Steering,Power Steering,0.96,Low,Resolved,Nexon,EV XZ+,2025-07-11,2026-03-13T06:49:45.980-04:00
15,MATPNN10131IN,Sneha Sinha,D007,Tata Motors Noida,2026-02-22,ABS warning light appearing intermittently,Brakes,ABS Issue,Brakes,ABS Issue,0.82,Medium,Closed,Harrier,XM,2025-06-11,2026-03-13T06:49:46.220-04:00
16,MATTGK49405IN,Rekha Menon,D035,Tata Motors Rajpur Road,2025-12-06,brake pedal goes too deep before engaging,Brakes,Pedal Feel,Brakes,Pedal Feel,0.82,Medium,Open,Nexon,XE,2025-11-05,2026-03-13T06:49:46.473-04:00
17,MATSFM96805IN,Harsh Dutta,D028,Tata Motors Vaishali Nagar,2025-12-23,uneven cooling between driver and passenger side,AC System,Cooling Issue,AC System,Cooling Issue,0.79,High,Open,Tiago,XZ+,2025-10-25,2026-03-13T06:49:46.713-04:00
18,MATTGN98029IN,Komal Kumar,D034,Tata Motors Palasia,2025-10-19,headlight flickering intermittently during night driving,Electrical,Wiring Issue,Electrical,Wiring Issue,0.92,Low,Open,Harrier,XE,2025-05-16,2026-03-13T06:49:46.953-04:00
19,MATHRM90405IN,Vikram Sharma,D027,Tata Motors Civil Lines,2025-09-29,Apple CarPlay not connecting after software update,Infotainment,Connectivity,Infotainment,Connectivity,0.85,Medium,Open,Tiago,EV XZ+,2025-03-30,2026-03-13T06:49:47.193-04:00
20,MATHRL35397IN,Vivek Tiwari,D030,Tata Motors Gomti Nagar,2026-01-10,horn not working in morning cold starts,Electrical,Wiring Issue,Electrical,Wiring Issue,0.84,High,Closed,Tiago,EV XZ+,2025-06-05,2026-03-13T06:49:47.433-04:00
21,MATSFN99151IN,Divya Gupta,D035,Tata Motors Rajpur Road,2026-02-02,brake pedal squeak during light braking,NVH,Squeaking,Electrical,Wiring Issue,0.45,High,Resolved,Safari,Adventure,2025-08-17,2026-03-13T06:49:47.673-04:00
22,MATHRM53152IN,Vivek Chatterjee,D017,Tata Motors Hinjawadi,2026-02-08,paint chipping near front bumper edge after 2 months,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.95,Low,In Progress,Tiago,XZ+,2025-02-17,2026-03-13T06:49:47.912-04:00
23,MATTGN22539IN,Amit Yadav,D028,Tata Motors Vaishali Nagar,2026-02-09,power window stuck halfway and not responding,Electrical,Wiring Issue,Electrical,Wiring Issue,0.96,Medium,Open,Tiago,XE,2025-12-20,2026-03-13T06:49:48.152-04:00
24,MATHRK96471IN,Divya Saxena,D023,Tata Motors Park Street,2026-01-27,battery warning light appearing intermittently on dashboard,Electrical,Battery,Steering,Alignment,0.69,Low,Open,Harrier,XM,2025-05-31,2026-03-13T06:49:48.393-04:00
25,MATSFN65182IN,Manoj Sharma,D027,Tata Motors Civil Lines,2025-11-16,AC blower making loud noise at speed 3 and above,AC System,Blower Issue,AC System,Blower Issue,0.79,Medium,Open,Harrier,XZ,2025-04-21,2026-03-13T06:49:48.636-04:00
26,MATSFL77853IN,Neha Banerjee,D013,Tata Motors Koramangala,2025-12-19,clear coat peeling on roof near antenna area,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.89,Medium,Resolved,Punch,Accomplished,2025-11-05,2026-03-13T06:49:48.877-04:00
27,MATTGM90753IN,Anjali Sharma,D017,Tata Motors Hinjawadi,2025-10-17,steering returning slow after making turns,Steering,Power Steering,Steering,Power Steering,0.87,Critical,Open,Nexon,XE,2025-06-12,2026-03-13T06:49:49.117-04:00
28,MATNXK13934IN,Nitin Verma,D034,Tata Motors Palasia,2025-12-27,Bluetooth disconnecting frequently from phone,Infotainment,Connectivity,Infotainment,Audio,0.47,High,Resolved,Tiago,XM,2025-03-13,2026-03-13T06:49:49.357-04:00
29,MATNXK44313IN,Smita Mukherjee,D019,Tata Motors Jubilee Hills,2025-12-26,metallic noise when braking from high speed,Brakes,Noise,AC System,Blower Issue,0.56,High,Resolved,Tiago,XM,2025-07-03,2026-03-13T06:49:49.596-04:00
30,MATNXL28931IN,Pooja Tiwari,D021,Tata Motors Hitech City,2026-02-20,gear getting stuck in reverse occasionally,Transmission,Gear Issue,Transmission,Gear Issue,0.97,High,Open,Punch,Creative,2025-08-29,2026-03-13T06:49:49.841-04:00
31,MATHRN86556IN,Gaurav Desai,D016,Tata Motors Kothrud,2025-11-17,brake pedal feels spongy after 500km of driving,Brakes,Pedal Feel,Brakes,Pedal Feel,0.99,Medium,Resolved,Safari,XM,2025-03-20,2026-03-13T06:49:50.083-04:00
32,MATPNN45171IN,Karthik Saxena,D026,Tata Motors SG Highway,2025-10-22,metallic rattling noise from engine bay at idle,NVH,Rattling Noise,NVH,Rattling Noise,0.95,Medium,In Progress,Harrier,XM,2025-05-18,2026-03-13T06:49:50.322-04:00
33,MATTGK40169IN,Kavita Iyer,D030,Tata Motors Gomti Nagar,2026-01-09,wireless charging pad not detecting phone properly,Infotainment,Connectivity,Transmission,Gear Issue,0.63,Medium,Open,Tiago,EV XZ+,2025-01-18,2026-03-13T06:49:50.562-04:00
34,MATTGK94365IN,Rohit Rao,D029,Tata Motors Aliganj,2025-12-05,clear coat peeling on roof near antenna area,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.97,Low,Open,Nexon,EV XZ+,2025-08-19,2026-03-13T06:49:50.803-04:00
35,MATSFM49252IN,Rohit Chatterjee,D022,Tata Motors Salt Lake,2026-03-12,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.67,High,In Progress,Tiago,XZ+,2025-08-14,2026-03-13T06:49:51.043-04:00
36,MATHRN86939IN,Komal Chatterjee,D035,Tata Motors Rajpur Road,2025-11-30,clutch pedal vibration when shifting gears,Transmission,Gear Issue,Transmission,Gear Issue,0.79,Medium,Resolved,Tiago,XM,2025-08-08,2026-03-13T06:49:51.282-04:00
37,MATPNM49274IN,Divya Kapoor,D002,Tata Motors Thane,2025-12-20,centre console rattling when playing music at high volume,NVH,Rattling Noise,NVH,Rattling Noise,0.96,Low,Open,Punch,EV Adventure,2025-08-04,2026-03-13T06:49:51.525-04:00
38,MATSFK32468IN,Priya Joshi,D025,Tata Motors Ashram Road,2025-09-28,scratches visible under bonnet paint from factory,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.89,Critical,In Progress,Safari,XZ+,2025-07-25,2026-03-13T06:49:51.759-04:00
39,MATHRN64842IN,Rahul Menon,D013,Tata Motors Koramangala,2026-01-07,AC takes more than 10 minutes to cool cabin in summer,AC System,Cooling Issue,AC System,Cooling Issue,0.80,High,In Progress,Nexon,XZ+ Lux,2025-06-03,2026-03-13T06:49:51.993-04:00
40,MATHRN18384IN,Ajay Saxena,D007,Tata Motors Noida,2025-10-04,dampness observed near A-pillar after rain,Body & Paint,Water Leak,Steering,Power Steering,0.70,Low,Resolved,Tiago,XE,2025-05-03,2026-03-13T06:49:52.227-04:00
41,MATHRL42654IN,Sunita Sinha,D008,Tata Motors Gurgaon,2025-11-26,audio balance shifting to one side randomly,Infotainment,Audio,Infotainment,Audio,0.79,High,Open,Tiago,XE,2025-02-19,2026-03-13T06:49:52.460-04:00
42,MATHRK63907IN,Pooja Iyer,D030,Tata Motors Gomti Nagar,2025-10-13,AC blower not working on speed 1 setting,AC System,Blower Issue,AC System,Blower Issue,0.97,High,In Progress,Harrier,XZ+,2025-04-29,2026-03-13T06:49:52.695-04:00
43,MATHRN97856IN,Tanya Sharma,D029,Tata Motors Aliganj,2026-01-06,power steering becoming stiff during slow parking maneuvers,Steering,Power Steering,Steering,Power Steering,0.85,Medium,In Progress,Harrier,XZ+,2025-06-16,2026-03-13T06:49:52.930-04:00
44,MATHRK16259IN,Sanjay Joshi,D034,Tata Motors Palasia,2025-11-08,ABS warning light appearing intermittently,Brakes,ABS Issue,Brakes,ABS Issue,0.94,Medium,Resolved,Harrier,XE,2025-02-22,2026-03-13T06:49:53.168-04:00
45,MATHRK64484IN,Anita Malhotra,D026,Tata Motors SG Highway,2026-01-03,Android Auto showing connection error repeatedly,Infotainment,Connectivity,Infotainment,Connectivity,0.94,Medium,Resolved,Harrier,XZ,2025-07-01,2026-03-13T06:49:53.414-04:00
46,MATSFK58362IN,Sanjay Joshi,D013,Tata Motors Koramangala,2025-10-12,AC takes more than 10 minutes to cool cabin in summer,AC System,Cooling Issue,AC System,Cooling Issue,0.84,Medium,Resolved,Safari,XE,2025-04-21,2026-03-13T06:49:53.653-04:00
47,MATSFM93277IN,Rajesh Banerjee,D024,Tata Motors Howrah,2026-02-09,door hinge squeaking when opening passenger door,NVH,Squeaking,NVH,Squeaking,0.98,Medium,Resolved,Harrier,XZ,2025-02-18,2026-03-13T06:49:53.895-04:00
48,MATHRK41922IN,Deepa Reddy,D019,Tata Motors Jubilee Hills,2025-10-17,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Body & Paint,Panel Gap,0.39,Low,In Progress,Punch,Creative,2024-10-30,2026-03-13T06:49:54.137-04:00
49,MATNXM53420IN,Lakshmi Pandey,D037,Tata Motors Sector 17,2025-10-31,soft brake pedal feel especially in morning,Brakes,Pedal Feel,Brakes,Pedal Feel,0.91,High,Open,Safari,XE,2025-03-21,2026-03-13T06:49:54.370-04:00
50,MATHRL32764IN,Rajesh Rao,D038,Tata Motors Kadavanthara,2026-01-28,squeaking noise from front suspension on speed breakers,NVH,Squeaking,Brakes,ABS Issue,0.43,High,Open,Punch,Accomplished,2025-03-22,2026-03-13T06:49:54.605-04:00
51,MATPNN31989IN,Anjali Singh,D029,Tata Motors Aliganj,2026-01-13,paint bubbling observed near wheel arch,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.84,High,Open,Tiago,XZ+,2025-08-01,2026-03-13T06:49:54.841-04:00
52,MATSFN47122IN,Lakshmi Chopra,D035,Tata Motors Rajpur Road,2025-12-30,paint chipping near front bumper edge after 2 months,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.95,Medium,Resolved,Harrier,XM,2025-04-20,2026-03-13T06:49:55.074-04:00
53,MATNXK15089IN,Meera Banerjee,D026,Tata Motors SG Highway,2026-03-07,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Transmission,DCT Issue,0.97,High,Resolved,Safari,Adventure,2025-12-21,2026-03-13T06:49:55.363-04:00
54,MATSFL69699IN,Rohit Chopra,D003,Tata Motors Powai,2025-12-21,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Steering,Power Steering,0.71,High,In Progress,Harrier,XZ+,2025-09-29,2026-03-13T06:49:55.682-04:00
55,MATTGN96309IN,Rohit Patel,D032,Tata Motors Dharampeth,2025-11-02,steering wheel vibration at highway speeds above 100 kmph,NVH,Vibration,NVH,Vibration,0.85,Critical,In Progress,Safari,XZ+,2025-10-03,2026-03-13T06:49:55.916-04:00
56,MATNXN19154IN,Ajay Saxena,D013,Tata Motors Koramangala,2025-09-16,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Transmission,DCT Issue,0.90,High,In Progress,Tiago,XZ,2024-12-12,2026-03-13T06:49:56.154-04:00
57,MATHRN63581IN,Sanjay Bhat,D016,Tata Motors Kothrud,2026-02-11,sunroof panel squeaking during turns,NVH,Squeaking,NVH,Squeaking,0.99,High,In Progress,Harrier,XZ,2025-02-15,2026-03-13T06:49:56.389-04:00
58,MATTGM59239IN,Divya Dutta,D018,Tata Motors Baner,2026-02-07,clutch pedal vibration when shifting gears,Transmission,Gear Issue,Transmission,Gear Issue,0.86,High,In Progress,Punch,Creative,2025-12-04,2026-03-13T06:49:56.625-04:00
59,MATNXN69889IN,Arun Chopra,D033,Tata Motors MG Road,2025-10-25,water seeping into boot area during car wash,Body & Paint,Water Leak,Transmission,Gear Issue,0.52,Medium,In Progress,Safari,XE,2025-03-16,2026-03-13T06:49:56.861-04:00
60,MATSFN40612IN,Amit Reddy,D016,Tata Motors Kothrud,2025-09-25,grinding noise from front brakes during slow speed braking,Brakes,Noise,Brakes,Noise,0.88,High,In Progress,Tiago,XZ+,2024-09-27,2026-03-13T06:49:57.095-04:00
61,MATNXK75264IN,Ravi Das,D033,Tata Motors MG Road,2025-09-27,battery draining overnight if car parked for 2 days,Electrical,Battery,Electrical,Battery,0.88,High,In Progress,Tiago,XZ,2025-06-10,2026-03-13T06:49:57.328-04:00
62,MATHRM60264IN,Kavita Sinha,D040,Tata Motors Vizag CBD,2025-10-26,subwoofer not producing bass at lower volumes,Infotainment,Audio,Infotainment,Audio,0.85,High,Resolved,Punch,Pure,2025-09-08,2026-03-13T06:49:57.567-04:00
63,MATSFN60023IN,Anjali Reddy,D019,Tata Motors Jubilee Hills,2026-02-27,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.93,Critical,Open,Harrier,XE,2025-08-31,2026-03-13T06:49:57.801-04:00
64,MATTGN60875IN,Ravi Mishra,D016,Tata Motors Kothrud,2025-10-15,AC takes more than 10 minutes to cool cabin in summer,AC System,Cooling Issue,AC System,Cooling Issue,0.96,Medium,Open,Tiago,XZ+,2025-07-04,2026-03-13T06:49:58.140-04:00
65,MATSFL72689IN,Arun Verma,D017,Tata Motors Hinjawadi,2025-11-25,jerky movement at low speeds in DCT variant,Transmission,DCT Issue,Transmission,DCT Issue,0.98,Critical,Open,Nexon,EV Max XZ+ Lux,2025-06-20,2026-03-13T06:49:58.374-04:00
66,MATNXM61417IN,Ajay Malhotra,D031,Tata Motors Sadar,2025-12-02,steering returning slow after making turns,Steering,Power Steering,Steering,Power Steering,0.93,Low,Resolved,Nexon,XM,2025-06-15,2026-03-13T06:49:58.608-04:00
67,MATPNL85649IN,Lakshmi Saxena,D032,Tata Motors Dharampeth,2026-02-06,touchscreen unresponsive in certain areas of the display,Infotainment,Screen Issue,Infotainment,Screen Issue,0.92,High,Resolved,Safari,XM,2025-02-20,2026-03-13T06:49:58.843-04:00
68,MATNXN56607IN,Rahul Iyer,D029,Tata Motors Aliganj,2026-02-08,speaker crackling noise from rear right speaker,Infotainment,Audio,Infotainment,Audio,0.84,High,Open,Nexon,XZ+ Lux,2025-04-08,2026-03-13T06:49:59.079-04:00
69,MATPNN46073IN,Nisha Sharma,D031,Tata Motors Sadar,2025-12-02,battery draining overnight if car parked for 2 days,Electrical,Battery,Electrical,Battery,0.98,Critical,Resolved,Safari,XZ,2025-01-21,2026-03-13T06:49:59.369-04:00
70,MATTGK63127IN,Komal Joshi,D017,Tata Motors Hinjawadi,2026-01-13,transmission hesitation when accelerating from standstill,Transmission,DCT Issue,Transmission,DCT Issue,0.95,High,Open,Tiago,XE,2025-04-17,2026-03-13T06:49:59.603-04:00
71,MATNXK43654IN,Rekha Pillai,D005,Tata Motors Connaught Place,2026-01-12,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.79,Critical,Open,Punch,Accomplished,2025-03-13,2026-03-13T06:49:59.837-04:00
72,MATTGL76924IN,Dinesh Yadav,D035,Tata Motors Rajpur Road,2026-01-12,musty smell from AC vents after starting car,AC System,Odor,Steering,Power Steering,0.36,Medium,In Progress,Punch,EV Adventure,2025-06-11,2026-03-13T06:50:00.071-04:00
73,MATHRK69777IN,Karthik Saxena,D023,Tata Motors Park Street,2026-03-08,paint chipping near front bumper edge after 2 months,Body & Paint,Paint Defect,Transmission,Gear Issue,0.60,Medium,Resolved,Nexon,XZ+,2026-01-12,2026-03-13T06:50:00.312-04:00
74,MATNXK42440IN,Karthik Chatterjee,D037,Tata Motors Sector 17,2025-10-12,ABS activating unnecessarily on dry road at low speed,Brakes,ABS Issue,Brakes,ABS Issue,0.83,High,Resolved,Harrier,XE,2025-09-11,2026-03-13T06:50:00.545-04:00
75,MATTGN87178IN,Bhavna Singh,D017,Tata Motors Hinjawadi,2026-01-05,rattling noise near AC vent on bumpy roads,NVH,Rattling Noise,NVH,Rattling Noise,0.95,Medium,Open,Harrier,XE,2025-11-10,2026-03-13T06:50:00.787-04:00
76,MATPNM26721IN,Priya Patel,D005,Tata Motors Connaught Place,2025-09-26,subwoofer not producing bass at lower volumes,Infotainment,Audio,Infotainment,Audio,0.89,High,Open,Punch,Creative,2024-12-04,2026-03-13T06:50:01.022-04:00
77,MATTGN46152IN,Gaurav Mukherjee,D031,Tata Motors Sadar,2025-10-05,battery warning light appearing intermittently on dashboard,Electrical,Battery,Electrical,Wiring Issue,0.47,Medium,Open,Punch,Creative,2024-10-16,2026-03-13T06:50:01.256-04:00
78,MATHRK75248IN,Nitin Rao,D034,Tata Motors Palasia,2025-11-17,car pulling to the left even after wheel alignment,Steering,Alignment,Brakes,Noise,0.52,Low,In Progress,Safari,XZ+,2025-03-28,2026-03-13T06:50:01.515-04:00
79,MATNXL68805IN,Smita Chatterjee,D021,Tata Motors Hitech City,2025-12-08,AC blower not working on speed 1 setting,AC System,Blower Issue,AC System,Blower Issue,0.95,Low,Open,Safari,XZ,2025-09-03,2026-03-13T06:50:01.825-04:00
80,MATSFK37926IN,Sachin Joshi,D036,Tata Motors Panchkula,2025-10-17,steering returning slow after making turns,Steering,Power Steering,Steering,Alignment,0.71,Medium,In Progress,Safari,XE,2025-01-01,2026-03-13T06:50:02.059-04:00
81,MATNXL77412IN,Ajay Dutta,D007,Tata Motors Noida,2025-10-05,screen going black randomly while using navigation,Infotainment,Screen Issue,Infotainment,Screen Issue,0.95,High,Closed,Safari,Adventure,2024-10-26,2026-03-13T06:50:02.293-04:00
82,MATHRM34846IN,Pooja Malhotra,D018,Tata Motors Baner,2026-02-24,water seeping into boot area during car wash,Body & Paint,Water Leak,Infotainment,Screen Issue,0.42,Low,Resolved,Nexon,XM,2025-11-14,2026-03-13T06:50:02.527-04:00
83,MATPNL60967IN,Rahul Kapoor,D034,Tata Motors Palasia,2025-10-12,whining noise from power steering pump at full lock,Steering,Power Steering,Steering,Power Steering,0.85,Medium,Closed,Harrier,XZ+,2025-07-31,2026-03-13T06:50:02.760-04:00
84,MATTGL77009IN,Anita Menon,D040,Tata Motors Vizag CBD,2025-11-02,weak cranking during cold morning starts,Electrical,Battery,Electrical,Battery,0.88,Medium,Open,Nexon,EV XZ+,2025-08-06,2026-03-13T06:50:02.995-04:00
85,MATHRL25789IN,Nitin Singh,D038,Tata Motors Kadavanthara,2026-01-18,paint bubbling observed near wheel arch,Body & Paint,Paint Defect,Body & Paint,Paint Defect,0.91,Low,In Progress,Punch,EV Adventure,2025-10-10,2026-03-13T06:50:03.235-04:00
86,MATSFM42370IN,Anjali Sharma,D001,Tata Motors Andheri,2025-12-13,AC compressor making clicking sound when engaged,AC System,Cooling Issue,AC System,Cooling Issue,0.83,Medium,Resolved,Punch,Creative,2025-10-08,2026-03-13T06:50:03.469-04:00
87,MATTGL58705IN,Sunita Kumar,D030,Tata Motors Gomti Nagar,2026-03-08,audio balance shifting to one side randomly,Infotainment,Audio,Infotainment,Audio,0.93,Medium,Open,Nexon,EV Max XZ+ Lux,2025-08-24,2026-03-13T06:50:03.703-04:00
88,MATSFK68783IN,Bhavna Bhat,D028,Tata Motors Vaishali Nagar,2026-01-29,steering returning slow after making turns,Steering,Power Steering,Steering,Power Steering,0.96,High,Open,Nexon,XM,2025-11-21,2026-03-13T06:50:03.937-04:00
89,MATPNN60351IN,Rekha Kapoor,D013,Tata Motors Koramangala,2025-09-27,AC not cooling sufficiently in rear seats,AC System,Cooling Issue,AC System,Cooling Issue,0.82,Medium,Resolved,Safari,XZ,2025-07-21,2026-03-13T06:50:04.172-04:00
90,MATTGL32427IN,Harsh Kumar,D037,Tata Motors Sector 17,2026-01-02,audio balance shifting to one side randomly,Infotainment,Audio,Infotainment,Audio,0.79,Medium,In Progress,Tiago,XZ+,2025-02-04,2026-03-13T06:50:04.406-04:00
91,MATSFM63522IN,Vivek Dutta,D020,Tata Motors Gachibowli,2025-11-04,rattling sound from rear door panel on rough roads,NVH,Rattling Noise,Electrical,Sensor Issue,0.67,High,Resolved,Punch,Creative,2025-03-23,2026-03-13T06:50:04.640-04:00
92,MATTGL67958IN,Amit Joshi,D037,Tata Motors Sector 17,2026-02-20,hard shifting observed between 2nd and 3rd gear in AMT,Transmission,Gear Issue,Transmission,Gear Issue,0.95,High,Closed,Harrier,XZ,2025-05-08,2026-03-13T06:50:04.874-04:00
93,MATHRL74293IN,Divya Singh,D029,Tata Motors Aliganj,2025-10-03,burning smell when AC is turned on at high fan speed,AC System,Odor,Steering,Power Steering,0.64,Medium,Open,Punch,EV Adventure,2024-10-07,2026-03-13T06:50:05.113-04:00
94,MATTGN59528IN,Karthik Mukherjee,D036,Tata Motors Panchkula,2025-12-24,dampness observed near A-pillar after rain,Body & Paint,Water Leak,AC System,Odor,0.38,Medium,Closed,Punch,Accomplished,2024-12-24,2026-03-13T06:50:05.349-04:00
95,MATPNM50289IN,Harsh Pillai,D006,Tata Motors Dwarka,2025-10-30,power steering becoming stiff during slow parking maneuvers,Steering,Power Steering,Steering,Power Steering,0.95,High,Resolved,Safari,Adventure,2025-08-14,2026-03-13T06:50:05.589-04:00
96,MATNXK32224IN,Divya Yadav,D002,Tata Motors Thane,2026-02-16,uneven cooling between driver and passenger side,AC System,Cooling Issue,Transmission,Gear Issue,0.43,Low,Open,Safari,XZ,2025-05-03,2026-03-13T06:50:05.828-04:00
97,MATTGK55663IN,Kavita Mishra,D040,Tata Motors Vizag CBD,2025-11-21,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.93,Medium,Closed,Harrier,XZ+ Dark,2025-09-30,2026-03-13T06:50:06.062-04:00
98,MATTGL46500IN,Sanjay Kapoor,D040,Tata Motors Vizag CBD,2025-12-09,ABS activating unnecessarily on dry road at low speed,Brakes,ABS Issue,Brakes,ABS Issue,0.95,Medium,Resolved,Safari,XZ+,2025-01-21,2026-03-13T06:50:06.297-04:00
99,MATHRN20959IN,Sanjay Kumar,D025,Tata Motors Ashram Road,2025-12-08,car pulling to the left even after wheel alignment,Steering,Alignment,Steering,Alignment,0.81,Medium,Resolved,Tiago,EV XZ+,2025-01-29,2026-03-13T06:50:06.534-04:00
100,MATHRK39437IN,Gaurav Kumar,D011,Tata Motors Adyar,2025-12-02,musty smell from AC vents after starting car,AC System,Odor,Brakes,Noise,0.68,High,In Progress,Safari,XZ+,2025-02-18,2026-03-13T06:50:06.769-04:00
101,MATHRL71573IN,Komal Sharma,D024,Tata Motors Howrah,2025-09-16,screen going black randomly while using navigation,Infotainment,Screen Issue,Infotainment,Screen Issue,0.81,Medium,Resolved,Harrier,XE,2025-06-07,2026-03-13T06:50:07.004-04:00
102,MATTGM84981IN,Vikram Singh,D006,Tata Motors Dwarka,2026-01-11,soft brake pedal feel especially in morning,Brakes,Pedal Feel,Steering,Alignment,0.64,Low,Open,Nexon,XZ,2025-05-12,2026-03-13T06:50:07.240-04:00
103,MATPNN51050IN,Bhavna Pillai,D032,Tata Motors Dharampeth,2025-10-18,door hinge squeaking when opening passenger door,NVH,Squeaking,NVH,Squeaking,0.84,Low,In Progress,Tiago,EV XZ+,2025-02-17,2026-03-13T06:50:07.474-04:00
104,MATTGN83890IN,Suresh Kapoor,D005,Tata Motors Connaught Place,2025-12-12,floor vibration when driving on expressway,NVH,Vibration,NVH,Vibration,0.86,Medium,Resolved,Tiago,EV XZ+,2025-10-09,2026-03-13T06:50:07.708-04:00
105,MATNXK29685IN,Karthik Kumar,D038,Tata Motors Kadavanthara,2025-09-16,seat vibration noticeable at 60-80 kmph range,NVH,Vibration,NVH,Vibration,0.91,Critical,Resolved,Safari,XM,2024-12-15,2026-03-13T06:50:07.941-04:00
106,MATSFM27196IN,Sanjay Pillai,D030,Tata Motors Gomti Nagar,2026-01-08,brake pedal feels spongy after 500km of driving,Brakes,Pedal Feel,Infotainment,Connectivity,0.54,Critical,In Progress,Nexon,XZ,2025-11-21,2026-03-13T06:50:08.175-04:00
107,MATPNM69612IN,Anjali Kumar,D004,Tata Motors Navi Mumbai,2025-12-09,weak cranking during cold morning starts,Electrical,Battery,Transmission,DCT Issue,0.48,Low,Resolved,Safari,XZ,2025-02-17,2026-03-13T06:50:08.409-04:00
