Deliveries: 700 rows
delivery_id,vin,customer_name,customer_phone,dealer_code,dealer_name,delivery_date,delivery_officer,odometer_reading,fuel_level,model,variant,epod_signed,customer_remarks,inspection_id,created_at
30,MATNXL28931IN,Ashok Joshi,+918069048011,D004,Tata Motors Navi Mumbai,2026-03-11,Manish Sethi,28,Full,Harrier,XZ+ Dark,true,Requested additional floor mats,30,2026-03-13T06:55:04.928-04:00
31,MATHRN86556IN,Sachin Rao,+918117454757,D026,Tata Motors SG Highway,2026-03-13,Kunal Trivedi,33,Full,Nexon,XE,true,,31,2026-03-13T06:55:05.162-04:00
32,MATPNN45171IN,Meera Tiwari,+919481444505,D025,Tata Motors Ashram Road,2026-03-10,Tarun Kaushik,28,3/4,Safari,XE,true,Requested additional floor mats,32,2026-03-13T06:55:05.396-04:00
33,MATTGK40169IN,Karthik Das,+917024969063,D028,Tata Motors Vaishali Nagar,2026-03-13,Rohit Bhardwaj,42,Full,Punch,EV Adventure,true,Delivery process was smooth and professional,33,2026-03-13T06:55:05.630-04:00
34,MATTGK94365IN,Dinesh Dutta,+918433672277,D018,Tata Motors Baner,2026-03-12,Varun Mishra,14,3/4,Safari,Adventure,true,Requested additional floor mats,34,2026-03-13T06:55:05.864-04:00
35,MATSFM49252IN,Karthik Kapoor,+918921182136,D036,Tata Motors Panchkula,2026-03-13,Rohit Bhardwaj,36,Full,Tiago,XZ+,true,AC not cooling well - dealer scheduled follow-up,35,2026-03-13T06:55:06.100-04:00
36,MATHRN86939IN,Priya Mukherjee,+918893434873,D030,Tata Motors Gomti Nagar,2026-03-10,Abhishek Pandey,18,Full,Punch,Adventure,true,,36,2026-03-13T06:55:06.335-04:00
37,MATPNM49274IN,Karthik Banerjee,+917473507431,D026,Tata Motors SG Highway,2026-03-08,Tarun Kaushik,32,3/4,Safari,XZ+,true,,37,2026-03-13T06:55:06.573-04:00
38,MATSFK32468IN,Deepa Saxena,+917841313636,D019,Tata Motors Jubilee Hills,2026-03-09,Tarun Kaushik,36,Full,Safari,Adventure,false,AC not cooling well - dealer scheduled follow-up,38,2026-03-13T06:55:06.807-04:00
39,MATHRN64842IN,Rajesh Menon,+918481286613,D017,Tata Motors Hinjawadi,2026-03-13,Manish Sethi,41,Full,Tiago,XM,true,Delivery process was smooth and professional,39,2026-03-13T06:55:07.043-04:00
40,MATHRN18384IN,Bhavna Menon,+919998378888,D010,Tata Motors OMR,2026-03-08,Sameer Khanna,34,Full,Nexon,XZ,true,Documentation was delayed by 30 minutes,40,2026-03-13T06:55:07.278-04:00
41,MATHRL42654IN,Karthik Kumar,+918256728668,D012,Tata Motors Whitefield,2026-03-12,Manish Sethi,40,Full,Harrier,XE,true,,41,2026-03-13T06:55:07.512-04:00
42,MATHRK63907IN,Kavita Gupta,+918910003640,D001,Tata Motors Andheri,2026-03-13,Nikhil Desai,8,3/4,Safari,XM,true,Minor scratch noticed on door - dealer promised touch-up,42,2026-03-13T06:55:07.746-04:00
43,MATHRN97856IN,Vikram Chopra,+918695255852,D015,Tata Motors Jayanagar,2026-03-08,Manish Sethi,30,Full,Safari,XZ,true,Requested additional floor mats,43,2026-03-13T06:55:07.979-04:00
44,MATHRK16259IN,Rohit Sinha,+917943645983,D036,Tata Motors Panchkula,2026-03-07,Nikhil Desai,38,Full,Tiago,XZ,true,,44,2026-03-13T06:55:08.213-04:00
45,MATHRK64484IN,Deepa Sharma,+917210497874,D014,Tata Motors Electronic City,2026-03-07,Kunal Trivedi,23,Full,Nexon,XZ+,true,Requested additional floor mats,45,2026-03-13T06:55:08.449-04:00
46,MATSFK58362IN,Ravi Kapoor,+919332755849,D017,Tata Motors Hinjawadi,2026-03-11,Arjun Nambiar,18,1/2,Safari,XE,true,Noticed slight vibration during test drive - dealer to check,46,2026-03-13T06:55:08.682-04:00
47,MATSFM93277IN,Prakash Verma,+917098530667,D040,Tata Motors Vizag CBD,2026-03-10,Kunal Trivedi,15,3/4,Punch,Creative,true,Documentation was delayed by 30 minutes,47,2026-03-13T06:55:08.918-04:00
48,MATHRK41922IN,Parveen Malhotra,+919740779511,D017,Tata Motors Hinjawadi,2026-03-08,Varun Mishra,18,Full,Harrier,XE,true,Excellent handover experience,48,2026-03-13T06:55:09.154-04:00
49,MATNXM53420IN,Ravi Mukherjee,+918228533659,D038,Tata Motors Kadavanthara,2026-03-10,Rohit Bhardwaj,43,Full,Harrier,XM,true,Delivery process was smooth and professional,49,2026-03-13T06:55:09.387-04:00
50,MATHRL32764IN,Meera Banerjee,+917223332163,D005,Tata Motors Connaught Place,2026-03-08,Varun Mishra,17,Full,Harrier,XM,true,,50,2026-03-13T06:55:09.620-04:00
51,MATPNN31989IN,Swati Pillai,+917214398285,D027,Tata Motors Civil Lines,2026-03-09,Sameer Khanna,9,Full,Harrier,XM,true,Requested additional floor mats,51,2026-03-13T06:55:09.857-04:00
52,MATSFN47122IN,Sachin Pillai,+919278893868,D035,Tata Motors Rajpur Road,2026-03-05,Sameer Khanna,39,3/4,Safari,XM,true,All accessories installed as promised,52,2026-03-13T06:55:10.091-04:00
53,MATNXK15089IN,Harsh Banerjee,+919744150516,D038,Tata Motors Kadavanthara,2026-03-10,Sameer Khanna,23,Full,Nexon,EV XZ+,true,Minor scratch noticed on door - dealer promised touch-up,53,2026-03-13T06:55:10.328-04:00
54,MATSFL69699IN,Meera Joshi,+917274338370,D017,Tata Motors Hinjawadi,2026-03-04,Pankaj Dubey,30,Full,Harrier,XM,true,,54,2026-03-13T06:55:10.564-04:00
55,MATTGN96309IN,Swati Tiwari,+918418081099,D040,Tata Motors Vizag CBD,2026-03-09,Arjun Nambiar,38,Full,Harrier,XZ+ Dark,true,All accessories installed as promised,55,2026-03-13T06:55:10.801-04:00
56,MATNXN19154IN,Swati Desai,+918332703866,D001,Tata Motors Andheri,2026-03-09,Manish Sethi,25,Full,Nexon,XE,true,,56,2026-03-13T06:55:11.040-04:00
57,MATHRN63581IN,Rajesh Singh,+918732228528,D002,Tata Motors Thane,2026-03-08,Kunal Trivedi,25,Full,Harrier,XE,true,Noticed slight vibration during test drive - dealer to check,57,2026-03-13T06:55:11.275-04:00
58,MATTGM59239IN,Vivek Chatterjee,+918126415466,D027,Tata Motors Civil Lines,2026-03-10,Sameer Khanna,10,1/2,Tiago,XZ+,true,,58,2026-03-13T06:55:11.509-04:00
59,MATNXN69889IN,Suresh Verma,+919604078799,D035,Tata Motors Rajpur Road,2026-03-07,Kunal Trivedi,40,Full,Nexon,EV Max XZ+ Lux,true,AC not cooling well - dealer scheduled follow-up,59,2026-03-13T06:55:11.744-04:00
60,MATSFN40612IN,Anjali Kumar,+917458286294,D040,Tata Motors Vizag CBD,2026-03-04,Pankaj Dubey,38,3/4,Harrier,XE,true,All accessories installed as promised,60,2026-03-13T06:55:11.978-04:00
61,MATNXK75264IN,Anita Kumar,+919442763615,D021,Tata Motors Hitech City,2026-03-06,Abhishek Pandey,35,3/4,Harrier,XM,true,Delivery process was smooth and professional,61,2026-03-13T06:55:12.212-04:00
62,MATHRM60264IN,Bhavna Gupta,+919851839348,D032,Tata Motors Dharampeth,2026-03-07,Arjun Nambiar,15,Full,Nexon,XE,true,,62,2026-03-13T06:55:12.453-04:00
63,MATSFN60023IN,Nitin Pandey,+917120619349,D014,Tata Motors Electronic City,2026-03-08,Pankaj Dubey,39,Full,Safari,Adventure,true,Delivery process was smooth and professional,63,2026-03-13T06:55:12.687-04:00
64,MATTGN60875IN,Dinesh Kumar,+919525709004,D017,Tata Motors Hinjawadi,2026-03-08,Pankaj Dubey,32,Full,Safari,XE,true,All accessories installed as promised,64,2026-03-13T06:55:12.920-04:00
65,MATSFL72689IN,Kavita Pillai,+918028281446,D036,Tata Motors Panchkula,2026-03-04,Arjun Nambiar,42,Full,Tiago,EV XZ+,true,All accessories installed as promised,65,2026-03-13T06:55:13.157-04:00
66,MATNXM61417IN,Sanjay Nair,+918666002000,D018,Tata Motors Baner,2026-03-03,Rohit Bhardwaj,14,Full,Safari,XZ+,true,AC not cooling well - dealer scheduled follow-up,66,2026-03-13T06:55:13.390-04:00
67,MATPNL85649IN,Divya Chatterjee,+917186033757,D027,Tata Motors Civil Lines,2026-03-05,Varun Mishra,26,Full,Nexon,XM,true,Requested additional floor mats,67,2026-03-13T06:55:13.625-04:00
68,MATNXN56607IN,Tanya Desai,+919597391532,D037,Tata Motors Sector 17,2026-03-05,Arjun Nambiar,5,3/4,Tiago,XE,true,,68,2026-03-13T06:55:13.946-04:00
69,MATPNN46073IN,Harsh Das,+917878357544,D009,Tata Motors Anna Nagar,2026-03-03,Nikhil Desai,34,Full,Tiago,XE,true,Requested additional floor mats,69,2026-03-13T06:55:14.253-04:00
70,MATTGK63127IN,Tanya Saxena,+919780342764,D005,Tata Motors Connaught Place,2026-03-06,Arjun Nambiar,21,Full,Tiago,XM,true,AC not cooling well - dealer scheduled follow-up,70,2026-03-13T06:55:14.488-04:00
71,MATNXK43654IN,Sneha Nair,+918374111231,D020,Tata Motors Gachibowli,2026-03-07,Nikhil Desai,38,Full,Tiago,EV XZ+,true,,71,2026-03-13T06:55:14.723-04:00
72,MATTGL76924IN,Rajesh Saxena,+919338044925,D033,Tata Motors MG Road,2026-03-03,Manish Sethi,17,3/4,Tiago,XE,true,Documentation was delayed by 30 minutes,72,2026-03-13T06:55:14.957-04:00
73,MATHRK69777IN,Karthik Yadav,+917034242732,D012,Tata Motors Whitefield,2026-03-04,Manish Sethi,19,Full,Tiago,XZ,true,,73,2026-03-13T06:55:15.192-04:00
74,MATNXK42440IN,Sachin Desai,+918957992016,D011,Tata Motors Adyar,2026-03-04,Varun Mishra,12,3/4,Nexon,XE,true,,74,2026-03-13T06:55:15.426-04:00
75,MATTGN87178IN,Karthik Chopra,+919064725939,D016,Tata Motors Kothrud,2026-03-02,Kunal Trivedi,29,Full,Nexon,XM,true,,75,2026-03-13T06:55:15.660-04:00
76,MATPNM26721IN,Vivek Dutta,+917356242586,D011,Tata Motors Adyar,2026-02-28,Nikhil Desai,9,Full,Harrier,XZ,true,Minor scratch noticed on door - dealer promised touch-up,76,2026-03-13T06:55:15.895-04:00
77,MATTGN46152IN,Arun Menon,+919899685688,D036,Tata Motors Panchkula,2026-03-01,Tarun Kaushik,36,Full,Safari,XM,true,,77,2026-03-13T06:55:16.130-04:00
78,MATHRK75248IN,Sachin Pandey,+919970998754,D026,Tata Motors SG Highway,2026-03-02,Manish Sethi,35,Full,Punch,Creative,true,AC not cooling well - dealer scheduled follow-up,78,2026-03-13T06:55:16.366-04:00
79,MATNXL68805IN,Anita Agarwal,+919489465310,D011,Tata Motors Adyar,2026-03-02,Abhishek Pandey,45,Full,Punch,Adventure,true,AC not cooling well - dealer scheduled follow-up,79,2026-03-13T06:55:16.601-04:00
80,MATSFK37926IN,Anjali Pillai,+918712665275,D011,Tata Motors Adyar,2026-03-03,Rohit Bhardwaj,34,Full,Nexon,XM,true,Documentation was delayed by 30 minutes,80,2026-03-13T06:55:16.903-04:00
81,MATNXL77412IN,Gaurav Bhat,+918007293126,D013,Tata Motors Koramangala,2026-03-04,Arjun Nambiar,23,Full,Harrier,XZ+ Dark,true,Documentation was delayed by 30 minutes,81,2026-03-13T06:55:17.137-04:00
82,MATHRM34846IN,Sunita Reddy,+917693537895,D007,Tata Motors Noida,2026-03-04,Tarun Kaushik,13,1/2,Tiago,XE,true,AC not cooling well - dealer scheduled follow-up,82,2026-03-13T06:55:17.374-04:00
83,MATPNL60967IN,Arun Kapoor,+918970930560,D004,Tata Motors Navi Mumbai,2026-03-01,Abhishek Pandey,17,1/2,Harrier,XZ,true,,83,2026-03-13T06:55:17.608-04:00
84,MATTGL77009IN,Vikram Kapoor,+918109702414,D016,Tata Motors Kothrud,2026-03-02,Arjun Nambiar,44,Full,Nexon,XM,true,Delivery process was smooth and professional,84,2026-03-13T06:55:17.848-04:00
85,MATHRL25789IN,Sanjay Desai,+919885195352,D015,Tata Motors Jayanagar,2026-03-03,Arjun Nambiar,31,Full,Tiago,XM,true,Noticed slight vibration during test drive - dealer to check,85,2026-03-13T06:55:18.084-04:00
86,MATSFM42370IN,Smita Singh,+917354833130,D033,Tata Motors MG Road,2026-03-04,Pankaj Dubey,7,Full,Harrier,XZ,true,,86,2026-03-13T06:55:18.317-04:00
87,MATTGL58705IN,Deepa Rao,+917038282607,D039,Tata Motors Edappally,2026-03-01,Sameer Khanna,37,Full,Tiago,XE,true,All accessories installed as promised,87,2026-03-13T06:55:18.554-04:00
88,MATSFK68783IN,Swati Agarwal,+918123796128,D008,Tata Motors Gurgaon,2026-03-01,Manish Sethi,26,Full,Harrier,XZ+ Dark,true,Very happy with the vehicle condition,88,2026-03-13T06:55:18.786-04:00
89,MATPNN60351IN,Nitin Menon,+919180125792,D015,Tata Motors Jayanagar,2026-02-26,Kunal Trivedi,18,Full,Harrier,XZ,true,Documentation was delayed by 30 minutes,89,2026-03-13T06:55:19.020-04:00
90,MATTGL32427IN,Suresh Menon,+919450085670,D026,Tata Motors SG Highway,2026-02-26,Rohit Bhardwaj,35,Full,Harrier,XE,true,Requested additional floor mats,90,2026-03-13T06:55:19.254-04:00
91,MATSFM63522IN,Harsh Dutta,+918774541362,D015,Tata Motors Jayanagar,2026-02-26,Rohit Bhardwaj,23,Full,Safari,XE,true,,91,2026-03-13T06:55:19.489-04:00
92,MATTGL67958IN,Swati Kumar,+919125386812,D039,Tata Motors Edappally,2026-02-25,Nikhil Desai,31,Full,Safari,XM,true,All accessories installed as promised,92,2026-03-13T06:55:19.725-04:00
93,MATHRL74293IN,Lakshmi Verma,+919313810755,D005,Tata Motors Connaught Place,2026-02-26,Pankaj Dubey,21,3/4,Harrier,XM,true,,93,2026-03-13T06:55:19.959-04:00
94,MATTGN59528IN,Parveen Agarwal,+917552056578,D027,Tata Motors Civil Lines,2026-03-01,Tarun Kaushik,5,Full,Punch,Pure,true,AC not cooling well - dealer scheduled follow-up,94,2026-03-13T06:55:20.196-04:00
95,MATPNM50289IN,Deepa Sharma,+919345500340,D004,Tata Motors Navi Mumbai,2026-03-01,Rohit Bhardwaj,8,Full,Harrier,XZ+ Dark,true,Requested additional floor mats,95,2026-03-13T06:55:20.500-04:00
96,MATNXK32224IN,Priya Das,+917369437914,D029,Tata Motors Aliganj,2026-03-02,Abhishek Pandey,6,Full,Safari,XE,true,Very happy with the vehicle condition,96,2026-03-13T06:55:20.734-04:00
97,MATTGK55663IN,Deepa Desai,+917491952422,D035,Tata Motors Rajpur Road,2026-03-02,Rohit Bhardwaj,17,Full,Nexon,XZ+,true,AC not cooling well - dealer scheduled follow-up,97,2026-03-13T06:55:21.013-04:00
98,MATTGL46500IN,Arun Joshi,+918375541647,D006,Tata Motors Dwarka,2026-03-01,Rohit Bhardwaj,18,Full,Tiago,XZ+,true,Very happy with the vehicle condition,98,2026-03-13T06:55:21.253-04:00
99,MATHRN20959IN,Rajesh Kumar,+917250020376,D010,Tata Motors OMR,2026-03-02,Sameer Khanna,7,Full,Nexon,EV Max XZ+ Lux,true,Documentation was delayed by 30 minutes,99,2026-03-13T06:55:21.490-04:00
100,MATHRK39437IN,Kavita Kumar,+919375307402,D005,Tata Motors Connaught Place,2026-02-28,Manish Sethi,38,Full,Punch,Creative,true,Minor scratch noticed on door - dealer promised touch-up,100,2026-03-13T06:55:21.728-04:00
101,MATHRL71573IN,Dinesh Patel,+917745134621,D013,Tata Motors Koramangala,2026-03-02,Kunal Trivedi,19,Full,Nexon,XZ+,false,,101,2026-03-13T06:55:22.036-04:00
102,MATTGM84981IN,Dinesh Yadav,+919577567386,D005,Tata Motors Connaught Place,2026-02-26,Nikhil Desai,44,Full,Punch,Creative,true,Very happy with the vehicle condition,102,2026-03-13T06:55:22.344-04:00
103,MATPNN51050IN,Ravi Chopra,+917947577554,D025,Tata Motors Ashram Road,2026-02-23,Manish Sethi,31,Full,Safari,XZ+,true,Requested additional floor mats,103,2026-03-13T06:55:22.652-04:00
104,MATTGN83890IN,Rahul Chatterjee,+919760363497,D005,Tata Motors Connaught Place,2026-02-26,Sameer Khanna,37,Full,Harrier,XZ+,true,,104,2026-03-13T06:55:22.959-04:00
105,MATNXK29685IN,Anjali Bhat,+917286817160,D008,Tata Motors Gurgaon,2026-02-28,Pankaj Dubey,41,Full,Tiago,XM,true,AC not cooling well - dealer scheduled follow-up,105,2026-03-13T06:55:23.193-04:00
106,MATSFM27196IN,Rekha Pandey,+917016088438,D033,Tata Motors MG Road,2026-02-25,Pankaj Dubey,19,Full,Nexon,EV XZ+,true,,106,2026-03-13T06:55:23.427-04:00
107,MATPNM69612IN,Ashok Agarwal,+919355704281,D033,Tata Motors MG Road,2026-02-23,Arjun Nambiar,20,Full,Safari,XZ+,true,Noticed slight vibration during test drive - dealer to check,107,2026-03-13T06:55:23.661-04:00
108,MATSFN62551IN,Ajay Mishra,+919657441744,D009,Tata Motors Anna Nagar,2026-02-24,Kunal Trivedi,23,1/2,Punch,Accomplished,true,Documentation was delayed by 30 minutes,108,2026-03-13T06:55:23.896-04:00
109,MATNXM23801IN,Lakshmi Reddy,+919865885561,D011,Tata Motors Adyar,2026-02-23,Rohit Bhardwaj,43,Full,Tiago,XE,false,AC not cooling well - dealer scheduled follow-up,109,2026-03-13T06:55:24.152-04:00
110,MATHRK53086IN,Ashok Sinha,+917123616135,D018,Tata Motors Baner,2026-02-28,Varun Mishra,30,3/4,Harrier,XZ+ Dark,true,AC not cooling well - dealer scheduled follow-up,110,2026-03-13T06:55:24.386-04:00
111,MATPNK37973IN,Suresh Bhat,+919127037890,D025,Tata Motors Ashram Road,2026-02-28,Manish Sethi,30,3/4,Nexon,XZ,true,All accessories installed as promised,111,2026-03-13T06:55:24.622-04:00
112,MATSFL31565IN,Swati Rao,+918014417666,D025,Tata Motors Ashram Road,2026-02-26,Rohit Bhardwaj,39,Full,Punch,Accomplished,true,Delivery process was smooth and professional,112,2026-03-13T06:55:24.858-04:00
113,MATTGM52432IN,Pooja Malhotra,+919812088488,D002,Tata Motors Thane,2026-02-22,Rohit Bhardwaj,45,Full,Safari,XZ,true,,113,2026-03-13T06:55:25.092-04:00
114,MATNXL38655IN,Rahul Nair,+918825851650,D035,Tata Motors Rajpur Road,2026-02-26,Rohit Bhardwaj,32,Full,Harrier,XZ,true,All accessories installed as promised,114,2026-03-13T06:55:25.326-04:00
115,MATTGL24860IN,Prakash Chopra,+919954020838,D004,Tata Motors Navi Mumbai,2026-02-21,Arjun Nambiar,33,Full,Tiago,XE,true,Requested additional floor mats,115,2026-03-13T06:55:25.560-04:00
116,MATNXK95147IN,Nitin Nair,+917804281206,D009,Tata Motors Anna Nagar,2026-02-27,Kunal Trivedi,43,Full,Tiago,EV XZ+,true,Documentation was delayed by 30 minutes,116,2026-03-13T06:55:25.794-04:00
117,MATPNM10996IN,Rekha Menon,+919494431812,D031,Tata Motors Sadar,2026-02-21,Abhishek Pandey,20,3/4,Harrier,XE,true,,117,2026-03-13T06:55:26.033-04:00
118,MATSFN84997IN,Nitin Das,+919673560813,D009,Tata Motors Anna Nagar,2026-02-21,Manish Sethi,35,Full,Nexon,EV XZ+,true,Documentation was delayed by 30 minutes,118,2026-03-13T06:55:26.337-04:00
119,MATHRK26558IN,Parveen Verma,+918272967392,D001,Tata Motors Andheri,2026-02-26,Sameer Khanna,40,3/4,Punch,Adventure,true,Delivery process was smooth and professional,119,2026-03-13T06:55:26.575-04:00
120,MATSFL41420IN,Dinesh Sharma,+918361881637,D013,Tata Motors Koramangala,2026-02-24,Sameer Khanna,9,3/4,Safari,XZ+,true,Minor scratch noticed on door - dealer promised touch-up,120,2026-03-13T06:55:26.812-04:00
121,MATTGL24034IN,Vivek Singh,+918664435469,D009,Tata Motors Anna Nagar,2026-02-19,Pankaj Dubey,35,Full,Harrier,XE,true,,121,2026-03-13T06:55:27.052-04:00
122,MATNXK96463IN,Karthik Banerjee,+918513888357,D022,Tata Motors Salt Lake,2026-02-25,Rohit Bhardwaj,27,3/4,Punch,Adventure,true,Noticed slight vibration during test drive - dealer to check,122,2026-03-13T06:55:27.286-04:00
123,MATSFK38804IN,Anita Tiwari,+918324438472,D031,Tata Motors Sadar,2026-02-19,Kunal Trivedi,32,Full,Harrier,XM,true,Delivery process was smooth and professional,123,2026-03-13T06:55:27.519-04:00
124,MATHRK61488IN,Amit Sharma,+919591879872,D007,Tata Motors Noida,2026-02-24,Nikhil Desai,21,Full,Nexon,XM,true,,124,2026-03-13T06:55:27.753-04:00
125,MATNXK31921IN,Vivek Chatterjee,+919110011357,D026,Tata Motors SG Highway,2026-02-22,Pankaj Dubey,45,Full,Tiago,XZ+,true,Very happy with the vehicle condition,125,2026-03-13T06:55:27.988-04:00
126,MATSFM11262IN,Priya Kapoor,+917606861247,D017,Tata Motors Hinjawadi,2026-02-23,Abhishek Pandey,17,Full,Safari,XZ+,true,,126,2026-03-13T06:55:28.222-04:00
127,MATHRN16509IN,Rajesh Kumar,+919764868059,D006,Tata Motors Dwarka,2026-02-19,Kunal Trivedi,30,3/4,Tiago,XM,true,Minor scratch noticed on door - dealer promised touch-up,127,2026-03-13T06:55:28.458-04:00
128,MATHRK14850IN,Prakash Kapoor,+917098602664,D023,Tata Motors Park Street,2026-02-18,Rohit Bhardwaj,43,Full,Tiago,EV XZ+,false,,128,2026-03-13T06:55:28.692-04:00
